hex,alpha entity
0x0024,$
0x00c6,&AElig;
0x0026,&AMP;
0x00c1,&Aacute;
0x0102,&Abreve;
0x00c2,&Acirc;
0x0410,&Acy;
0x1d504,&Afr;
0x00c0,&Agrave;
0x0391,&Alpha;
0x0100,&Amacr;
0x2a53,&And;
0x0104,&Aogon;
0x1d538,&Aopf;
0x2061,&ApplyFunction;
0x00c5,&Aring;
0x1d49c,&Ascr;
0x2254,&Assign;
0x00c3,&Atilde;
0x00c4,&Auml;
0x2216,&Backslash;
0x2ae7,&Barv;
0x2306,&Barwed;
0x0411,&Bcy;
0x2235,&Because;
0x212c,&Bernoullis;
0x0392,&Beta;
0x1d505,&Bfr;
0x1d539,&Bopf;
0x02d8,&Breve;
0x212c,&Bscr;
0x224e,&Bumpeq;
0x0427,&CHcy;
0x00a9,&COPY;
0x0106,&Cacute;
0x22d2,&Cap;
0x2145,&CapitalDifferentialD;
0x212d,&Cayleys;
0x010c,&Ccaron;
0x00c7,&Ccedil;
0x0108,&Ccirc;
0x2230,&Cconint;
0x010a,&Cdot;
0x00b8,&Cedilla;
0x00b7,&CenterDot;
0x212d,&Cfr;
0x03a7,&Chi;
0x2299,&CircleDot;
0x2296,&CircleMinus;
0x2295,&CirclePlus;
0x2297,&CircleTimes;
0x2232,&ClockwiseContourIntegral;
0x201d,&CloseCurlyDoubleQuote;
0x2019,&CloseCurlyQuote;
0x2237,&Colon;
0x2a74,&Colone;
0x2261,&Congruent;
0x222f,&Conint;
0x222e,&ContourIntegral;
0x2102,&Copf;
0x2210,&Coproduct;
0x2233,&CounterClockwiseContourIntegral;
0x2a2f,&Cross;
0x1d49e,&Cscr;
0x22d3,&Cup;
0x224d,&CupCap;
0x2145,&DD;
0x2911,&DDotrahd;
0x0402,&DJcy;
0x0405,&DScy;
0x040f,&DZcy;
0x2021,&Dagger;
0x21a1,&Darr;
0x2ae4,&Dashv;
0x010e,&Dcaron;
0x0414,&Dcy;
0x2207,&Del;
0x0394,&Delta;
0x1d507,&Dfr;
0x00b4,&DiacriticalAcute;
0x02d9,&DiacriticalDot;
0x02dd,&DiacriticalDoubleAcute;
0x0060,&DiacriticalGrave;
0x02dc,&DiacriticalTilde;
0x22c4,&Diamond;
0x2146,&DifferentialD;
0x1d53b,&Dopf;
0x00a8,&Dot;
0x20dc,&DotDot;
0x2250,&DotEqual;
0x222f,&DoubleContourIntegral;
0x00a8,&DoubleDot;
0x21d3,&DoubleDownArrow;
0x21d0,&DoubleLeftArrow;
0x21d4,&DoubleLeftRightArrow;
0x2ae4,&DoubleLeftTee;
0x27f8,&DoubleLongLeftArrow;
0x27fa,&DoubleLongLeftRightArrow;
0x27f9,&DoubleLongRightArrow;
0x21d2,&DoubleRightArrow;
0x22a8,&DoubleRightTee;
0x21d1,&DoubleUpArrow;
0x21d5,&DoubleUpDownArrow;
0x2225,&DoubleVerticalBar;
0x2193,&DownArrow;
0x2913,&DownArrowBar;
0x21f5,&DownArrowUpArrow;
0x0311,&DownBreve;
0x2950,&DownLeftRightVector;
0x295e,&DownLeftTeeVector;
0x21bd,&DownLeftVector;
0x2956,&DownLeftVectorBar;
0x295f,&DownRightTeeVector;
0x21c1,&DownRightVector;
0x2957,&DownRightVectorBar;
0x22a4,&DownTee;
0x21a7,&DownTeeArrow;
0x21d3,&Downarrow;
0x1d49f,&Dscr;
0x0110,&Dstrok;
0x014a,&ENG;
0x00d0,&ETH;
0x00c9,&Eacute;
0x011a,&Ecaron;
0x00ca,&Ecirc;
0x042d,&Ecy;
0x0116,&Edot;
0x1d508,&Efr;
0x00c8,&Egrave;
0x2208,&Element;
0x0112,&Emacr;
0x25fb,&EmptySmallSquare;
0x25ab,&EmptyVerySmallSquare;
0x0118,&Eogon;
0x1d53c,&Eopf;
0x0395,&Epsilon;
0x2a75,&Equal;
0x2242,&EqualTilde;
0x21cc,&Equilibrium;
0x2130,&Escr;
0x2a73,&Esim;
0x0397,&Eta;
0x00cb,&Euml;
0x2203,&Exists;
0x2147,&ExponentialE;
